rank,universe_id,root_place_id,name,playing,visits,favorited_count,created,updated,url
58,7394964165,136599248168660,[UPD] Solo Hunters,1300,58065461,214670,2025-03-17T18:13:00.483Z,2026-07-07T07:19:28.743Z,https://www.roblox.com/games/136599248168660
59,3808223175,10450270085,[⚖️JUDGEMAN] Jujutsu Infinite,1900,709331294,3153014,2022-08-02T10:32:02.04Z,2026-07-01T02:37:52.333Z,https://www.roblox.com/games/10450270085
60,10265803948,82524183928567,Build A Soccer Squad! [⭐],25500,49379039,47527,2026-06-03T14:00:22.985Z,2026-07-08T09:41:27.9735184Z,https://www.roblox.com/games/82524183928567
61,4293374620,12177325772,[🏆⚽] FIFA Super Soccer,31900,1305786042,897370,2023-01-16T19:20:52.88Z,2026-07-06T17:43:32.193Z,https://www.roblox.com/games/12177325772
62,6325068386,18668065416,[🏖️Summer/🏆World Tournament] Blue Lock: Rivals,23200,4779651282,6070986,2024-07-26T19:16:18.383Z,2026-07-08T12:30:04.1808756Z,https://www.roblox.com/games/18668065416
63,4949420752,14315258385,Realistic Street Soccer,26500,1339605487,616681,2023-08-04T18:34:38.06Z,2026-07-06T21:45:36.009Z,https://www.roblox.com/games/14315258385
64,7557272025,124027312895188,sesh.,517,37044735,302177,2025-04-18T05:31:02.407Z,2026-07-05T23:08:05.439Z,https://www.roblox.com/games/124027312895188
65,4851783408,14004668761,[🌎] Real Futbol,3500,229066291,223529,2023-07-09T06:47:30.81Z,2026-07-08T03:30:10.2719639Z,https://www.roblox.com/games/14004668761
66,113491250,292439477,[INDEPENDENCE DAY!] Phantom Forces,2700,1782460809,5964607,2015-08-31T06:00:14.907Z,2026-07-04T19:05:04.817Z,https://www.roblox.com/games/292439477
67,1281592938,3678761576,[🐺OTTOMANS] ENTRENCHED WW1 🥀,4100,274946567,2152619,2019-08-18T01:55:23.283Z,2026-07-04T06:44:33.021Z,https://www.roblox.com/games/3678761576
68,4165264097,11765763028,Reign Fall,2000,11350881,246222,2022-12-07T19:59:42.097Z,2026-07-09T02:29:10.4528077Z,https://www.roblox.com/games/11765763028
69,115797356,301549746,[NEW CASE!] Counter Blox,699,1227973612,2840533,2015-09-27T07:13:41.767Z,2026-07-08T00:07:56.8474445Z,https://www.roblox.com/games/301549746
70,6190071862,18259975825,Grave/Digger,2000,56277646,207761,2024-06-29T12:57:40.913Z,2026-07-06T19:47:06.752Z,https://www.roblox.com/games/18259975825
71,10060242820,129253568870286,Bonk & Block [1v1v1],3000,26788601,28852,2026-04-20T07:05:32.225Z,2026-06-12T13:02:23.431Z,https://www.roblox.com/games/129253568870286
72,10096155511,130404059693601,Strike: Warfare,5400,7984414,27140,2026-04-28T17:42:44.312Z,2026-07-05T00:26:17.293Z,https://www.roblox.com/games/130404059693601
73,2619619496,6872265039,BedWars [🐝BEEKEEPER],33000,11426007761,4518038,2021-05-27T15:14:38.887Z,2026-07-08T20:39:16.0369043Z,https://www.roblox.com/games/6872265039
74,4568630521,13076380114,[LOVESICK KILLER] Heroes Battlegrounds,14500,1649589841,1526809,2023-04-11T02:16:49.137Z,2026-07-08T21:32:41.0047648Z,https://www.roblox.com/games/13076380114
75,4777817887,13772394625,Blade Ball,15500,6263432421,12630244,2023-06-17T00:05:26.103Z,2026-07-09T01:12:36.9184543Z,https://www.roblox.com/games/13772394625
76,10230942274,110175021189594,Ability Arena 💥,10900,25721574,59546,2026-05-27T15:24:51.668Z,2026-07-08T17:19:11.7183728Z,https://www.roblox.com/games/110175021189594
77,2380077519,6403373529,[UPDATE🎆] Slap Battles👏,10100,3526809794,4478088,2021-02-16T16:37:41.25Z,2026-07-08T12:53:25.4160365Z,https://www.roblox.com/games/6403373529
78,9826885587,134381727982611,Evomon[Release],72600,53741991,170792,2026-03-03T02:13:13.86Z,2026-07-09T03:52:22.3501487Z,https://www.roblox.com/games/134381727982611
79,5807622548,16910059756,RV Cooked? [ALPHA],3900,255180813,332057,2024-03-28T19:00:10.47Z,2026-07-07T07:55:11.187Z,https://www.roblox.com/games/16910059756
80,9796898051,101906032112547,Drill to Earth’s Core,9200,21890499,355682,2026-02-25T19:18:57.353Z,2026-07-04T01:53:41.595Z,https://www.roblox.com/games/101906032112547
81,972475338,2693023319,🚩Expedition Antarctica,4500,680577760,1823110,2018-12-30T09:43:12.993Z,2026-06-30T12:32:55.479Z,https://www.roblox.com/games/2693023319
82,10178399282,124773499800622,Gotta Go Toilet!💨,1600,3076382,8328,2026-05-16T22:04:29.699Z,2026-07-04T16:49:44.604Z,https://www.roblox.com/games/124773499800622
83,2921237723,7506230120,ELMIRA [Horror],1800,131843753,736599,2021-09-18T15:31:45.4Z,2026-06-07T11:14:41.802Z,https://www.roblox.com/games/7506230120
84,4720386144,13587601484,Ophelia [HORROR],3300,109139086,554667,2023-05-29T11:21:33.927Z,2026-07-07T07:52:06.006Z,https://www.roblox.com/games/13587601484
85,10050364824,105282886970300,[Lalala] Trending Meme Animations,1100,32451616,187297,2026-04-18T08:27:25.386Z,2026-07-08T21:09:20.915833Z,https://www.roblox.com/games/105282886970300
86,3349588628,8848607186,Digital Piano 🎹,497,54205773,1227489,2022-02-17T12:32:11.247Z,2026-07-08T16:09:55.9169224Z,https://www.roblox.com/games/8848607186
87,1953956112,5593470048,[☀️ SUMMER!] Visual Pianos 🎹,484,58649813,860143,2020-08-20T07:42:05.73Z,2026-07-04T11:02:26.353Z,https://www.roblox.com/games/5593470048
88,7590028310,84681951229584,[MULTIPLAYER HOTFIX] Sprunki Plus 🎶,1800,117498223,558226,2025-04-24T04:00:19.777Z,2026-07-05T10:54:59.771Z,https://www.roblox.com/games/84681951229584
89,7174384534,114484708468045,🎵 Choose A Song 🎵,653,9161258,33987,2025-01-31T16:42:18.557Z,2026-07-03T16:18:19.304Z,https://www.roblox.com/games/114484708468045
90,9372077571,125756097576326,Street Beats 💿,260,13252413,62228,2025-12-17T13:20:50.333Z,2026-07-07T04:44:19.772Z,https://www.roblox.com/games/125756097576326
91,703124385,1962086868,Tower of Hell,12900,28022703437,11755209,2018-06-18T21:17:06.1Z,2026-06-29T12:45:26.528Z,https://www.roblox.com/games/1962086868
92,10127090395,96947338677734,+1 Speed Slime Keyboard Escape,12700,25533366,1326945,2026-05-05T16:19:58.559Z,2026-07-09T03:41:03.4744045Z,https://www.roblox.com/games/96947338677734
93,4850044287,13999660589,Together [Party Game],10600,665054051,1380647,2023-07-08T19:25:49.69Z,2026-06-22T21:13:12.947Z,https://www.roblox.com/games/13999660589
94,9294646427,72317248326994,Bobsled Ride Down a Mountainside,3800,73810982,163995,2025-12-04T04:02:36.28Z,2026-07-09T03:23:54.0806732Z,https://www.roblox.com/games/72317248326994
95,10140010190,72763503064951,Would You Rather: Teamwork Outfit Tower!,8700,65507768,78366,2026-05-08T23:52:48.975Z,2026-07-04T22:31:40.588Z,https://www.roblox.com/games/72763503064951
96,7364297396,132586479415502,Webbed! ❄️ [2 Player Obby],3200,425291461,627378,2025-03-11T22:03:38.767Z,2026-07-04T10:43:36.841Z,https://www.roblox.com/games/132586479415502
97,5620182793,16288616721,[W72] Skateboard Obby,1700,581823530,2278036,2024-02-08T18:00:14.253Z,2026-06-10T01:20:04.063Z,https://www.roblox.com/games/16288616721
98,7008097940,99567941238278,[🔥] Ink Game,19700,3157548524,21622844,2024-12-31T03:07:28.08Z,2026-07-09T00:56:07.7150908Z,https://www.roblox.com/games/99567941238278
99,2936053166,7554888362,[🦑] Squid Game X,12500,2036652586,1631692,2021-09-24T23:38:34.723Z,2026-07-08T02:24:01.8451097Z,https://www.roblox.com/games/7554888362
100,7037902226,120154566897536,[I'M BACK] Paint an Album,9900,15299876,89733,2025-01-05T03:07:06.643Z,2026-07-09T04:12:06.931551Z,https://www.roblox.com/games/120154566897536
101,10230578056,133237691504819,[🎮] Guess My Game,4000,24456003,36419,2026-05-27T13:56:39.553Z,2026-07-01T15:39:37.745Z,https://www.roblox.com/games/133237691504819
102,1836146838,5244411056,Bloxy Bingo,5300,483820829,1329452,2020-06-27T18:38:18.617Z,2026-07-07T14:00:27.633Z,https://www.roblox.com/games/5244411056
103,10289201563,84449017742177,[RIG TYPES] Paint and Seek! 🎨,4200,5168146,13904,2026-06-07T22:15:02.172Z,2026-07-06T05:58:12.481Z,https://www.roblox.com/games/84449017742177
104,1709917610,4972273297,Regretevator [ ELEVATOR SIMULATOR ],2600,250539628,1032488,2020-05-02T02:57:08.217Z,2026-07-04T18:45:11.44Z,https://www.roblox.com/games/4972273297
105,10189903609,91704854174760,Finish The Word! [ RANKED ],9300,29535282,49989,2026-05-19T11:08:32.912Z,2026-07-08T23:25:52.0418268Z,https://www.roblox.com/games/91704854174760
106,7983308985,129866685202296,Last Letter 💬,1800,126326287,220392,2025-06-23T17:55:08.67Z,2026-07-07T14:40:06.409Z,https://www.roblox.com/games/129866685202296
107,8705454731,119741101026672,Escape 99 Rooms🔑,2400,63892039,498392,2025-09-13T17:33:56.863Z,2026-06-26T22:50:24.585Z,https://www.roblox.com/games/119741101026672
108,1258866324,3577061261,Defusal 💣,2200,45656739,630787,2019-08-01T21:43:00.887Z,2026-07-08T23:27:16.7717577Z,https://www.roblox.com/games/3577061261
109,9702840627,100079017940927,🤔Hot or Cold: Guess the Word!,847,6947532,132797,2026-02-10T02:20:23.937Z,2026-07-06T20:47:16.903Z,https://www.roblox.com/games/100079017940927
110,4170977322,11782774748,IQ Test 🧠,3800,277740123,14023811,2022-12-10T03:33:02.603Z,2026-07-08T21:08:49.6244583Z,https://www.roblox.com/games/11782774748
111,8851542818,131572543049913,[🦆] Detective Duck,2400,44494383,244167,2025-10-02T10:02:55.927Z,2026-07-07T07:59:35.967Z,https://www.roblox.com/games/131572543049913
112,371263894,891852901,Greenville,10300,1403818426,2630732,2017-06-28T12:52:29.43Z,2026-07-09T03:31:38.4295659Z,https://www.roblox.com/games/891852901
113,4839802560,13967668166,LifeTogether 🏠 RP,51900,3597160135,13952142,2023-07-05T20:36:59.163Z,2026-06-18T13:47:30.769Z,https://www.roblox.com/games/13967668166
114,6749060816,132352755769957,Asylum Life 🔊,6600,235097249,1616556,2024-11-02T07:31:07.557Z,2026-07-08T14:10:53.9471216Z,https://www.roblox.com/games/132352755769957
115,3308103880,8704997000,[🩸] Maple Hospital 🍂,9500,1747627932,1892321,2022-02-01T20:46:41.673Z,2026-07-08T17:13:52.7854921Z,https://www.roblox.com/games/8704997000
116,2527789729,6698800091,Prior Extinction - Dinosaur Survival!,1700,93002092,308609,2021-04-18T17:31:53.1Z,2026-07-08T20:10:12.0128893Z,https://www.roblox.com/games/6698800091
117,6619936488,104841616983113,San Aurie,4700,19477114,76382,2024-09-30T15:33:44.853Z,2026-06-28T02:16:30.392Z,https://www.roblox.com/games/104841616983113
118,7554119808,75387700043737,🛍️ My Avatar!,18700,267915553,3805848,2025-04-17T15:46:01.82Z,2026-07-08T22:51:43.8822445Z,https://www.roblox.com/games/75387700043737
119,2065706268,5814304937,Outfit Loader Testing Place,454,146848357,377545,2020-10-11T02:15:21.223Z,2026-01-29T00:08:26.478Z,https://www.roblox.com/games/5814304937
120,9098253051,81505130631572,FACEPAINTING! UGC CREATOR 🖌️,496,26435983,1951033,2025-11-04T02:07:07.5Z,2026-06-29T02:19:05.621Z,https://www.roblox.com/games/81505130631572
121,9076692567,112114621008524,UGC Creator 🎨,387,24640004,120969,2025-11-01T07:33:29.84Z,2026-07-03T20:34:27.768Z,https://www.roblox.com/games/112114621008524
122,9796643263,77187847593796,Avatar Maker,2400,14483244,609883,2026-02-25T18:07:48.79Z,2026-07-07T13:44:39.071Z,https://www.roblox.com/games/77187847593796
123,7000924848,109751495795601,Free Items,598,151080238,149077,2024-12-29T20:08:05.383Z,2026-06-01T14:43:19.015Z,https://www.roblox.com/games/109751495795601
124,9912025777,102054284786904,Secure the Airport,25300,64582693,231002,2026-03-20T18:36:38.966Z,2026-07-08T12:23:23.6373119Z,https://www.roblox.com/games/102054284786904
125,10199301628,128784467030899,Merge a Nuke!,58000,163527271,1038253,2026-05-21T13:45:07.797Z,2026-07-08T20:48:58.2537908Z,https://www.roblox.com/games/128784467030899
126,1202096104,3351674303,[BRAND DEBUT] Driving Empire 🏎️ Car Racing📦RP,26300,3008225913,31564843,2019-06-23T03:39:38.623Z,2026-07-08T20:59:43.985269Z,https://www.roblox.com/games/3351674303
127,10299611114,82208825713916,Scale Slimy Fish[🌈Weather UPD],10000,11919480,141666,2026-06-10T08:04:50.815Z,2026-07-09T03:15:48.900923Z,https://www.roblox.com/games/82208825713916
128,10011808151,91695551099066,[FIXES]+1 Shrink per Step,19400,50247029,2044465,2026-04-09T15:49:52.962Z,2026-07-08T20:27:23.2927483Z,https://www.roblox.com/games/91695551099066
129,3541611379,9503261072,🎆4th of July!🎆 Tower Defense X: BETA,2500,399471890,331870,2022-04-30T06:57:56.987Z,2026-07-04T21:50:17.964Z,https://www.roblox.com/games/9503261072
130,2621511041,6875747014,Ronopoly [Gold] - (Duo Mode!),2300,62640666,254946,2021-05-28T10:37:52.52Z,2026-07-04T20:19:43.801Z,https://www.roblox.com/games/6875747014
131,9940812243,104693964860826,[JJK⛩️] Anime RNG Defense,5200,677659,24805,2026-03-26T01:57:38.197Z,2026-07-08T22:42:20.957717Z,https://www.roblox.com/games/104693964860826
132,918677693,2569453732,Rise of Nations,1400,304632584,639828,2018-11-14T22:28:00.827Z,2026-06-15T00:22:49.667Z,https://www.roblox.com/games/2569453732
133,6069634717,17720162456,Sorcerer Tower Defense [HIGURUMA⚖️],2900,162066578,238763,2024-06-03T13:06:13.67Z,2026-07-06T13:09:47.893Z,https://www.roblox.com/games/17720162456
134,6739698191,93978595733734,[CURE] Violence District,88700,1056464608,1325464,2024-10-31T00:18:08.683Z,2026-07-08T12:26:50.328341Z,https://www.roblox.com/games/93978595733734
135,9312646406,75547400568620,Land or Die! ⚠️ (QUESTS),10000,59409941,435756,2025-12-07T01:11:53.527Z,2026-07-09T00:22:38.675691Z,https://www.roblox.com/games/75547400568620
136,9167377564,70411440483149,[👽] 100 Days At Sea,41700,135876202,3586809,2025-11-14T18:03:21.5Z,2026-07-08T21:34:42.6258643Z,https://www.roblox.com/games/70411440483149
137,3317771874,8737899170,🏆 [WORLD CUP] Pet Simulator 99! ⚽,157100,2520382257,2173382,2022-02-05T13:30:02.357Z,2026-07-08T02:43:04.5762898Z,https://www.roblox.com/games/8737899170
138,6765805766,104715542330896,BlockSpin 🔪,18800,1039623502,945654,2024-11-06T14:19:35.68Z,2026-07-06T08:23:06.904Z,https://www.roblox.com/games/104715542330896
139,7094518649,119048529960596,[🍲] Restaurant Tycoon 3,13600,316957292,774388,2025-01-16T11:24:38.103Z,2026-07-03T14:57:51.393Z,https://www.roblox.com/games/119048529960596
140,6794845242,88364323402553,[🗿🐀FREE UGCs] Final Score,3,1397068,10061,2024-11-14T12:33:30.05Z,2026-06-07T18:57:37.355Z,https://www.roblox.com/games/88364323402553
141,7091388561,127707120843339,Math Murder,410,127027905,105591,2025-01-15T17:25:29.143Z,2026-04-27T14:53:08.48Z,https://www.roblox.com/games/127707120843339
142,3616579578,9759893929,Zoo Tropica 🦓,17,8868560,15934,2022-05-29T12:37:57.933Z,2026-04-03T17:50:09.547Z,https://www.roblox.com/games/9759893929
143,2817076516,7232779505,Type Race!,3,18731157,129922,2021-08-10T10:58:43.06Z,2025-10-06T04:20:03.407Z,https://www.roblox.com/games/7232779505
144,537069295,1334669864,Lua Learning,4,9719258,305574,2018-01-15T17:55:52.233Z,2026-06-19T05:36:01.459Z,https://www.roblox.com/games/1334669864
145,79301772,166986752,🔨Plane Crazy🔨 [UPDATE],5100,473173354,1919131,2014-07-16T16:19:40.94Z,2026-07-08T19:21:47.426444Z,https://www.roblox.com/games/166986752
146,3929033413,10888259502,Piano Rooms,14,6510494,64561,2022-09-11T17:14:21.813Z,2026-06-18T19:30:20.444Z,https://www.roblox.com/games/10888259502
